engine-location-front,engine-location-rear,num-of-cylinders,engine-size,weight,horsepower,aspiration,price,make
1,std,convertible,3.47,21,9.00,2548,rwd,front,130,dohc,mpfi,gas,48.80,27,"111,73",168.80,alfa-romero,-,-,two,5000,1650000,2.68,3,88.60,64.10
2,-,hatchback,2.68,19,9.00,2823,rwd,front,152,ohcv,mpfi,gas,52.40,26,"154,62",171.20,alfa-romero,-,six,two,5000,- ,3.47,1,94.50,65.50
5,std,sedan,3.19,19,8.50,2507,fwd,front,136,ohc,mpfi,gas,53.10,25,"110,81",177.30,audi,-,-,two,5500,1525000,3.40,2,99.80,66.30
8,turbo,sedan,3.13,17,8.30,3086,fwd,front,131,ohc,mpfi,gas,55.90,20, -,192.70,audi,158,five,four,5500,2387500,3.40,1,105.80,71.40
9,turbo,hatchback,3.13,16,7.00,3053,4wd,front,131,ohc,mpfi,gas,52.00,22,"160,95",178.20,audi,-,five,two,5500,-,3.40,-,99.50,67.90
12,std,sedan,3.31,21,9.00,2710,rwd,front,164,ohc,mpfi,gas,54.30,28,"121,20",176.80,-,188,six,two,4250,2097000,3.19,0,101.20,64.80
14,std,sedan,3.31,20,9.00,3055,rwd,front,164,ohc,mpfi,gas,55.70,25,"121,76",189.00,bmw,-,- ,four,4250,2456500,3.19,1,103.50,66.90
16,std,sedan,3.62,16,8.00,3380,rwd,-,209,ohc,mpfi,gas,53.70,22,"182,35",193.80,bmw,-,six,two,5400,4131500,3.39, -,103.50,67.90
19,std,hatchback,3.03,38,9.60,1874,fwd,front,90,ohc,2bbl,gas,52.00,43,-,155.90,chevrolet,98,four,two,5400,629500,3.11,1,94.50,63.60
20,std,sedan,3.03,38,9.60,1909,fwd,front,90,ohc,2bbl,gas,52.00,43,"70,80",158.80,chevrolet,81,four,four,5400, -,3.11,0,94.50,63.60
21,std,hatchback,2.97,37,9.41,1876,fwd,front,90,ohc,2bbl,gas,50.80,41,"68,56",157.30,dodge,118,four,two,5500,557200,3.23,-,93.70,63.80
24,std,hatchback,2.97,31,9.40,1967,fwd, -,-,ohc,2bbl,gas,50.60,38,"68,38",157.30,-,148,four,four,5500,622900,3.23,1,93.70,63.80
26,std,sedan,2.97,31,9.40,1989,fwd,front,90,ohc,2bbl,gas,50.60,38,"68,82",157.30,dodge,148,four,four,5500,- ,3.23,1,93.70,63.80
27,turbo,sedan,3.03,24,7.60,2191,fwd,front,98,ohc,mpfi,gas,50.60,30,-,157.30,dodge,148,four,-,5500,855800,3.39,1,93.70,63.80
28,std,wagon,3.34,24,8.50,2535,fwd,front,122,ohc,2bbl,gas,59.80,30,"88,87",174.60,dodge,110,- ,four,5000,892100,3.46,-1,103.30,64.60
29, -,hatchback,3.60,19,7.00,2811,fwd,front,156,ohc,mfi,gas,50.20,24,"145,69",173.20,dodge,145,four,two,5000,1296400,3.90,3,95.90,66.30
30,std,hatchback,2.91,49,9.60,1713,fwd,front,- ,ohc,1bbl,gas,50.80,54,"58,63",144.60,honda,137,four,two,4800,647900,3.41,2,86.60,63.90
31,std,hatchback,2.91,31,9.20,1819,fwd,front,92,ohc,1bbl,gas,50.80,38,"76,07",144.60,honda,137,-,two,6000,685500,3.41,2,86.60,63.90
32,std,hatchback,2.91,38,10.10,1837,fwd,front, -,ohc,1bbl,gas,52.60,42,"60,10",150.00,honda,101,four,two,5500,539900,3.07,1,93.70,64.00
33,std,hatchback,2.91,30,9.20,1940,fwd,front,- ,ohc,1bbl,gas,52.60,34,"76,21",150.00,honda,101,four,two,6000,652900,3.41,1,93.70,64.00
34,std,hatchback,2.91,30,9.20,1956,fwd,front, -,ohc,1bbl,gas,52.60,34,"76,83",150.00,honda,101,four,two,6000,712900,3.41,1,93.70,64.00
